fixed acidity	volatile acidity	citric acid	residual sugar	alcohol	quality	total	chlorides	free sulfur dioxide	total sulfur dioxide	density	pH	sulphates
7.7	0.28	0.33	6.7	10.7	7	217.75209999999998	0.037000000000000005	32.0	155.0	0.9951	3.39	0.62
6.0	0.2	0.71	1.6	9.8	5	87.04270000000001	0.15	10.0	54.0	0.9927	3.12	0.47
6.0	0.19	0.71	1.5	9.8	6	86.9247	0.152	9.0	55.0	0.9927	3.12	0.46
7.7	0.28	0.33	6.7	10.7	7	217.75209999999998	0.037000000000000005	32.0	155.0	0.9951	3.39	0.62
5.1	0.39	0.21	1.7	12.5	6	111.86640000000001	0.027000000000000003	15.0	72.0	0.9894	3.5	0.45
5.7	0.36	0.34	4.2	11.9	6	125.37670000000001	0.026000000000000002	21.0	77.0	0.9907	3.41	0.45
6.9	0.19	0.33	1.6	10.8	5	236.81550000000004	0.043	63.0	149.0	0.9925	3.44	0.52
6.0	0.41	0.21	1.9	10.5	6	175.0028	0.05	29.0	122.0	0.9928	3.42	0.52
7.4	0.28	0.3	5.3	10.3	6	233.2281	0.054000000000000006	44.0	161.0	0.9941	3.12	0.48
7.4	0.3	0.3	5.2	10.3	6	236.1171	0.053	45.0	163.0	0.9941	3.12	0.45
6.9	0.19	0.33	1.6	10.8	5	236.81550000000004	0.043	63.0	149.0	0.9925	3.44	0.52
7.7	0.28	0.39	8.9	12.0	7	158.7395	0.036000000000000004	8.0	117.0	0.9935	3.06	0.38
8.6	0.16	0.38	3.4	10.2	6	211.11319999999995	0.04	41.0	143.0	0.9932	2.95	0.39
8.2	0.26	0.44	1.3	10.2	4	101.20040000000002	0.046	7.0	69.0	0.9944	3.14	0.62
6.5	0.25	0.27	15.2	9.9	5	328.7462	0.049	75.0	217.0	0.9972	3.19	0.39
7.0	0.24	0.18	1.3	10.1	4	94.70999999999998	0.046	9.0	62.0	0.9940000000000001	3.38	0.47
8.6	0.18	0.36	1.8	9.5	6	236.2756	0.04	24.0	187.0	0.9956	3.25	0.55
7.8	0.27	0.34	1.6	10.5	6	206.0487	0.046	27.0	154.0	0.9927	3.05	0.45
6.0	0.26	0.34	1.3	10.4	5	58.2584	0.046	6.0	29.0	0.9924	3.29	0.63
6.1	0.24	0.27	9.8	9.5	6	215.7486	0.062	33.0	152.0	0.9966	3.31	0.47
8.0	0.24	0.3	17.45	9.2	6	266.7957	0.055999999999999994	43.0	184.0	0.9997	3.05	0.5
7.6	0.21	0.6	2.1	10.1	7	237.23959999999997	0.046	47.0	165.0	0.9936	3.05	0.54
8.0	0.19	0.36	1.8	9.8	7	124.7936	0.05	16.0	84.0	0.9936	3.15	0.45
6.4	0.28	0.41	6.8	9.4	5	304.88019999999995	0.045	61.0	216.0	0.9952	3.09	0.46
6.4	0.28	0.43	7.1	9.4	6	309.19019999999995	0.045	60.0	221.0	0.9952	3.09	0.45
6.9	0.24	0.39	1.3	10.4	7	178.0758	0.063	18.0	136.0	0.9928	3.31	0.48
5.8	0.36	0.26	3.3	11.3	6	218.9391	0.038	40.0	153.0	0.9911	3.34	0.55
6.6	0.18	0.28	3.3	10.8	6	135.257	0.044000000000000004	18.0	91.0	0.993	3.42	0.64
5.8	0.36	0.26	3.3	11.3	6	218.9391	0.038	40.0	153.0	0.9911	3.34	0.55
5.1	0.52	0.06	2.7	9.3	5	131.4752	0.052000000000000005	30.0	79.0	0.9932	3.32	0.43
6.6	0.22	0.37	1.2	10.3	7	267.662	0.059000000000000004	45.0	199.0	0.993	3.37	0.55
8.3	0.15	0.39	1.3	10.5	6	203.158	0.055	32.0	146.0	0.993	3.08	0.39
7.6	0.16	0.44	1.4	10.3	6	158.79620000000003	0.043	25.0	109.0	0.9932	3.11	0.75
7.7	0.16	0.41	1.7	11.2	7	259.1112	0.048	60.0	173.0	0.9932	3.24	0.66
8.3	0.16	0.48	1.7	10.3	6	154.55130000000003	0.057	31.0	98.0	0.9943	3.15	0.41
6.2	0.25	0.47	11.6	9.5	5	304.7548	0.048	62.0	210.0	0.9968	3.19	0.5
6.1	0.16	0.27	12.6	8.9	5	258.1834	0.064	63.0	162.0	0.9994	3.66	0.43
7.6	0.39	0.22	2.8	10.2	5	157.55859999999996	0.036000000000000004	19.0	113.0	0.9926	3.03	0.29
6.8	0.37	0.47	11.2	9.2	5	212.96779999999998	0.071	44.0	136.0	0.9968	2.98	0.88
7.6	0.16	0.44	1.4	10.3	6	158.79620000000003	0.043	25.0	109.0	0.9932	3.11	0.75
7.1	0.18	0.42	1.4	10.5	6	227.8966	0.045	47.0	157.0	0.9916	2.95	0.31
8.3	0.14	0.26	1.5	9.5	6	269.5736	0.049	56.0	189.0	0.9946	3.21	0.62
8.6	0.2	0.42	1.5	11.4	7	186.75350000000003	0.040999999999999995	35.0	125.0	0.9925	3.11	0.49
8.6	0.2	0.42	1.5	11.4	7	186.75350000000003	0.040999999999999995	35.0	125.0	0.9925	3.11	0.49
6.8	0.19	0.32	7.05	11.1	8	272.09250000000003	0.019	54.0	188.0	0.9935	3.25	0.37
7.6	0.19	0.38	10.6	10.5	6	255.8362	0.06	48.0	174.0	0.9962	3.13	0.38
6.8	0.34	0.74	2.8	12.0	6	235.97079999999997	0.08800000000000001	23.0	185.0	0.9928	3.51	0.7
6.2	0.15	0.46	1.6	9.7	6	184.03199999999995	0.039	38.0	123.0	0.993	3.38	0.51
6.6	0.14	0.44	1.6	10.2	6	210.84499999999997	0.042	47.0	140.0	0.993	3.32	0.51
8.0	0.55	0.17	8.2	9.5	4	103.8456	0.04	13.0	60.0	0.9956	3.09	0.3
7.0	0.24	0.35	1.5	10.4	7	203.5361	0.052000000000000005	51.0	128.0	0.9941	3.41	0.59
6.3	0.6	0.44	11.0	9.3	4	327.44719999999995	0.05	50.0	245.0	0.9972	3.19	0.57
7.1	0.2	0.41	2.1	10.5	6	215.4588	0.054000000000000006	24.0	166.0	0.9948	3.48	0.62
6.2	0.34	0.29	7.6	10.0	6	306.44250000000005	0.047	45.0	232.0	0.9955	3.35	0.62
7.1	0.3	0.36	6.8	10.2	6	308.44219999999996	0.055	44.5	234.0	0.9972	3.49	0.64
7.1	0.3	0.36	6.8	10.2	6	308.44219999999996	0.055	44.5	234.0	0.9972	3.49	0.64
7.9	0.64	0.46	10.6	9.1	3	293.55230000000006	0.244	33.0	227.0	0.9983	2.87	0.74
8.8	0.17	0.38	1.8	10.2	6	213.21419999999998	0.04	39.0	148.0	0.9942	3.16	0.67
7.5	0.17	0.37	1.5	10.7	5	118.71360000000001	0.06	18.0	75.0	0.9936	3.54	0.88
7.1	0.47	0.24	6.0	9.7	5	116.3196	0.044000000000000004	11.0	77.0	0.9956	3.21	0.56
7.1	0.15	0.34	5.3	9.3	7	164.10930000000005	0.034	33.0	104.0	0.9953	3.37	0.52
7.5	0.17	0.34	1.4	11.0	5	140.2268	0.035	13.0	102.0	0.9918	3.05	0.74
8.2	0.68	0.3	2.1	10.8	4	182.05200000000002	0.047	17.0	138.0	0.995	3.22	0.71
7.7	0.275	0.3	1.0	10.7	5	118.57600000000002	0.039	19.0	75.0	0.992	3.01	0.56
7.3	0.49	0.32	5.2	10.7	4	150.73819999999998	0.043	18.0	104.0	0.9952	3.24	0.45
7.5	0.33	0.48	19.45	8.8	5	338.95899999999995	0.048	55.0	243.0	1.001	2.95	0.4
7.2	0.21	0.37	1.6	10.9	7	141.9614	0.049	23.0	94.0	0.9924	3.16	0.48
7.3	0.15	0.4	2.0	10.5	5	140.98319999999998	0.05	24.0	92.0	0.9932	3.14	0.45
6.5	0.19	0.1	1.3	10.0	5	152.8697	0.046	23.0	107.0	0.9937	3.29	0.45
7.0	0.31	0.52	1.7	10.4	5	90.4508	0.028999999999999998	5.0	61.0	0.9918	3.07	0.43
8.3	0.4	0.38	1.1	9.2	5	113.87140000000001	0.038	15.0	75.0	0.9934	3.03	0.43
6.1	0.37	0.36	4.7	12.6	6	181.086	0.035	36.0	116.0	0.991	3.31	0.62
7.3	0.24	0.34	7.5	9.0	5	210.06419999999997	0.048	29.0	152.0	0.9962	3.1	0.54
6.9	0.21	0.81	1.1	9.2	6	197.7702	0.13699999999999998	52.0	123.0	0.9932	3.03	0.39
7.6	0.29	0.42	1.3	11.3	5	129.3158	0.035	18.0	86.0	0.9908	2.99	0.39
9.4	0.29	0.55	2.2	10.3	4	163.5962	0.05	17.0	119.0	0.9962	3.12	0.69
7.0	0.31	0.52	1.7	10.4	5	90.4508	0.028999999999999998	5.0	61.0	0.9918	3.07	0.43
8.6	0.26	0.41	2.2	10.0	5	165.91310000000001	0.049	29.0	111.0	0.9941	2.96	0.44
7.5	0.21	0.34	1.2	10.7	6	161.98309999999998	0.06	26.0	111.0	0.9931	3.51	0.47
7.2	0.51	0.24	10.0	9.0	5	263.92109999999997	0.09300000000000001	35.0	197.0	0.9981	3.41	0.47
7.5	0.21	0.34	1.2	10.7	6	161.98309999999998	0.06	26.0	111.0	0.9931	3.51	0.47
5.3	0.3	0.2	1.1	8.7	4	234.5114	0.077	48.0	166.0	0.9944	3.3	0.54
8.0	0.26	0.36	2.0	11.6	7	178.076	0.054000000000000006	30.0	121.0	0.992	3.09	0.72
7.0	0.21	0.28	7.5	9.4	5	259.3466	0.07	45.0	185.0	0.9966	3.34	0.55
6.7	0.26	0.26	4.0	9.5	5	277.2846	0.079	35.5	216.0	0.9956	3.31	0.68
6.7	0.26	0.26	4.1	9.5	5	263.8586	0.073	36.0	202.0	0.9956	3.3	0.67
8.1	0.26	0.37	1.9	10.9	6	233.6669	0.07200000000000001	48.0	159.0	0.9949	3.37	0.7
8.3	0.22	0.38	14.8	9.7	5	196.1742	0.054000000000000006	32.0	126.0	1.0002	3.22	0.5
6.4	0.3	0.51	5.5	9.1	6	260.3822	0.048	62.0	172.0	0.9942	3.08	0.45
7.5	0.19	0.34	2.6	11.1	7	184.3493	0.037000000000000005	33.0	125.0	0.9923	3.1	0.49
8.8	0.33	0.44	6.35	12.6	7	128.8957	0.024	9.0	87.0	0.9917	2.96	0.4
6.9	0.2	0.36	1.5	11.0	6	209.8941	0.031	38.0	147.0	0.9931	3.35	0.56
8.0	0.37	0.32	1.6	11.3	7	224.172	0.04	32.0	166.0	0.992	3.0	0.55
8.3	0.22	0.38	14.8	9.7	5	196.1742	0.054000000000000006	32.0	126.0	1.0002	3.22	0.5
8.2	0.29	0.33	9.1	10.9	7	179.2113	0.036000000000000004	28.0	118.0	0.9953	2.96	0.4
7.7	0.34	0.3	8.0	10.9	5	248.72310000000002	0.048	25.0	192.0	0.9951	2.97	0.47
6.2	0.55	0.45	12.0	9.3	6	246.2164	0.049	27.0	186.0	0.9974	3.17	0.5
6.4	0.4	0.19	3.2	12.7	7	179.67339999999996	0.033	28.0	124.0	0.9904	3.22	0.54
7.5	0.28	0.33	7.7	10.1	6	252.9154	0.048	42.0	180.0	0.9974	3.37	0.59
7.8	0.26	0.44	1.3	10.0	5	199.66140000000004	0.037000000000000005	43.0	132.0	0.9944	3.18	0.65
6.5	0.26	0.34	16.3	9.8	5	291.1614	0.051	56.0	197.0	1.0004	3.49	0.42
6.3	0.34	0.29	6.2	10.1	6	284.0912	0.046	29.0	227.0	0.9952	3.29	0.53
6.8	0.15	0.33	4.7	9.0	7	174.85459999999998	0.059000000000000004	31.0	118.0	0.9956	3.43	0.39
6.3	0.27	0.25	5.8	9.4	6	233.71300000000002	0.038	52.0	155.0	0.995	3.28	0.38
6.3	0.27	0.25	5.8	9.4	6	233.71300000000002	0.038	52.0	155.0	0.995	3.28	0.38
7.4	0.2	0.37	16.95	9.2	6	271.6175	0.048	43.0	190.0	0.9995	3.03	0.42
6.3	0.23	0.21	5.1	10.1	7	197.65920000000003	0.035	29.0	142.0	0.9942	3.36	0.33
7.3	0.31	0.69	10.2	8.6	5	249.6487	0.040999999999999995	58.0	160.0	0.9977	3.06	0.45
5.2	0.24	0.45	3.8	11.2	8	174.949	0.027000000000000003	21.0	128.0	0.992	3.55	0.49
7.0	0.24	0.32	1.3	11.2	8	186.67899999999997	0.037000000000000005	39.0	123.0	0.992	3.17	0.42
7.4	0.2	0.37	16.95	9.2	6	271.6175	0.048	43.0	190.0	0.9995	3.03	0.42
7.0	0.17	0.33	4.0	10.6	7	170.70739999999998	0.034	17.0	127.0	0.9934	3.19	0.39
8.3	0.21	0.58	17.1	9.3	6	315.0596	0.049	62.0	213.0	1.0006	3.01	0.51
7.2	0.21	0.35	14.5	8.9	6	248.7262	0.048	35.0	178.0	0.9982	3.05	0.47
7.1	0.21	0.4	1.2	10.6	6	204.42179999999996	0.069	24.0	156.0	0.9928	3.42	0.43
8.4	0.17	0.31	6.7	10.6	7	191.6325	0.038	29.0	132.0	0.9945	3.1	0.32
7.4	0.24	0.31	8.4	8.8	5	264.6013	0.045	52.0	183.0	0.9963	3.09	0.32
5.3	0.24	0.33	1.3	11.0	8	145.1636	0.033	25.0	97.0	0.9906	3.59	0.38
6.5	0.28	0.26	8.8	10.2	6	213.76559999999998	0.04	44.0	139.0	0.9956	3.32	0.37
6.3	0.23	0.21	5.1	10.1	7	197.65920000000003	0.035	29.0	142.0	0.9942	3.36	0.33
6.5	0.29	0.25	10.6	10.1	6	184.42520000000002	0.039	32.0	120.0	0.9962	3.31	0.34
5.8	0.29	0.21	2.6	14.0	7	160.09439999999998	0.025	12.0	120.0	0.9894	3.39	0.79
6.3	0.27	0.25	5.8	9.4	6	233.71300000000002	0.038	52.0	155.0	0.995	3.28	0.38
6.3	0.17	0.42	2.8	11.8	6	178.20880000000002	0.027999999999999997	45.0	107.0	0.9908	3.27	0.43
6.3	0.16	0.4	1.6	11.4	5	231.85440000000003	0.033	59.0	148.0	0.9914	3.44	0.53
7.9	0.29	0.39	6.7	10.7	5	153.54979999999998	0.036000000000000004	6.0	117.0	0.9938	3.12	0.42
7.3	0.31	0.69	10.2	8.6	5	249.6487	0.040999999999999995	58.0	160.0	0.9977	3.06	0.45
5.5	0.32	0.45	4.9	11.5	7	243.6902	0.027999999999999997	25.0	191.0	0.9922	3.51	0.49
5.2	0.24	0.45	3.8	11.2	8	174.949	0.027000000000000003	21.0	128.0	0.992	3.55	0.49
7.2	0.37	0.15	2.0	12.6	7	141.2293	0.028999999999999998	27.0	87.0	0.9903	3.3	0.59
6.1	0.29	0.27	1.7	12.6	7	114.6933	0.024	13.0	76.0	0.9893	3.21	0.51
9.2	0.22	0.4	2.4	9.3	4	195.06920000000002	0.054000000000000006	18.0	151.0	0.9952	3.04	0.46
7.2	0.37	0.15	2.0	12.6	7	141.2293	0.028999999999999998	27.0	87.0	0.9903	3.3	0.59
8.0	0.18	0.37	1.3	12.1	6	137.65120000000002	0.04	15.0	96.0	0.9912	3.06	0.61
6.5	0.22	0.34	12.0	9.9	6	265.9713	0.053	55.0	177.0	0.9983	3.52	0.44
7.4	0.18	0.4	1.6	10.7	5	149.0407	0.047	22.0	102.0	0.9937	3.28	0.44
6.5	0.52	0.17	1.4	10.0	4	54.2102	0.047	5.0	26.0	0.9932	3.26	0.32
7.0	0.15	0.38	2.2	10.4	8	153.6898	0.047	33.0	96.0	0.9928	3.13	0.39
5.9	0.415	0.13	1.4	10.5	5	98.18719999999999	0.04	11.0	64.0	0.9922	3.29	0.52
8.1	0.45	0.34	8.3	9.7	5	280.8746	0.037000000000000005	33.0	216.0	0.9976	3.31	0.64
5.8	0.415	0.13	1.4	10.5	5	98.0872	0.04	11.0	64.0	0.9922	3.29	0.52
6.4	0.5	0.16	12.9	9.0	5	197.60940000000002	0.042	26.0	138.0	0.9974	3.28	0.33
6.7	0.105	0.32	12.4	9.2	6	173.76399999999998	0.051	34.0	106.0	0.998	3.54	0.45
6.0	0.4	0.3	1.6	10.1	6	170.09009999999998	0.047	30.0	117.0	0.9931	3.17	0.48
6.6	0.25	0.39	1.45	11.4	7	153.8711	0.04	40.0	89.0	0.9911	3.35	0.4
9.8	0.36	0.45	1.6	10.8	5	162.43640000000002	0.042	11.0	124.0	0.9944	2.93	0.46
9.6	0.23	0.4	1.5	10.9	5	181.1177	0.044000000000000004	19.0	135.0	0.9937	2.96	0.49
6.3	0.55	0.45	13.0	9.2	6	249.2044	0.047	33.0	182.0	0.9974	3.2	0.46
6.5	0.115	0.29	1.95	12.9	7	265.152	0.038	73.0	166.0	0.9890000000000001	3.12	0.25
6.4	0.125	0.29	5.85	12.0	7	152.249	0.042	24.0	99.0	0.992	3.23	0.32
5.7	0.1	0.27	1.3	9.5	5	142.6398	0.047	21.0	100.0	0.9928	3.27	0.46
7.9	0.25	0.29	5.3	11.8	7	179.9428	0.031	33.0	117.0	0.9918	3.06	0.32
6.9	0.2	0.28	1.2	9.1	6	217.3416	0.048	36.0	159.0	0.9936	3.19	0.43
6.9	0.23	0.34	4.0	9.7	6	177.9314	0.047	24.0	128.0	0.9944	3.2	0.52
6.8	0.39	0.31	14.35	9.1	5	225.70179999999996	0.043	28.0	162.0	0.9988	3.17	0.54
8.7	0.22	0.42	2.3	10.0	5	167.10700000000003	0.053	27.0	114.0	0.9940000000000001	2.99	0.43
7.4	0.41	0.34	4.7	10.4	5	173.9573	0.042	19.0	127.0	0.9953	3.25	0.42
6.7	0.25	0.34	12.85	9.5	6	225.5966	0.048	30.0	161.0	0.9986	3.44	0.47
6.0	0.26	0.42	5.2	12.3	8	276.99839999999995	0.027000000000000003	70.0	178.0	0.9914	3.4	0.4
6.1	0.31	0.37	8.4	11.7	8	271.7244	0.031	70.0	170.0	0.9934	3.42	0.4
9.2	0.28	0.46	3.2	9.5	5	199.414	0.057999999999999996	39.0	133.0	0.996	3.14	0.58
9.0	0.31	0.49	6.9	11.5	5	149.55770000000004	0.034	26.0	91.0	0.9937	2.99	0.34
8.5	0.16	0.33	1.0	10.6	6	99.25809999999998	0.076	17.0	57.0	0.9921	3.14	0.46
9.3	0.34	0.49	7.3	10.2	5	208.45999999999998	0.052000000000000005	30.0	146.0	0.998	3.17	0.61
9.2	0.28	0.46	3.2	9.5	5	199.414	0.057999999999999996	39.0	133.0	0.996	3.14	0.58
7.2	0.24	0.3	1.6	10.5	5	182.5813	0.048	27.0	131.0	0.9933	3.25	0.45
7.2	0.25	0.32	1.5	10.5	5	183.5103	0.047	27.0	132.0	0.9933	3.26	0.44
6.8	0.32	0.18	7.5	8.9	5	322.2869	0.040999999999999995	71.0	223.0	0.9959	3.14	0.41
9.1	0.27	0.32	1.1	10.6	5	191.85459999999998	0.031	15.0	151.0	0.9936	3.03	0.41
8.9	0.34	0.32	1.3	9.5	5	225.0563	0.040999999999999995	12.0	188.0	0.9953	3.17	0.49
7.0	0.17	0.37	5.7	10.8	6	168.74880000000002	0.025	29.0	111.0	0.9938	3.2	0.49
6.7	0.25	0.23	7.2	9.5	5	309.4032	0.038	61.0	220.0	0.9952	3.14	0.35
6.9	0.32	0.17	7.6	8.9	5	316.4579	0.042	69.0	219.0	0.9959	3.13	0.4
6.8	0.32	0.18	7.5	8.9	5	322.2869	0.040999999999999995	71.0	223.0	0.9959	3.14	0.41
6.1	0.6	0.0	1.3	9.4	4	125.12570000000001	0.042	24.0	79.0	0.9937	3.31	0.38
5.3	0.395	0.07	1.3	10.6	6	150.542	0.035	26.0	102.0	0.992	3.5	0.35
7.9	0.16	0.3	4.8	9.0	4	235.1037	0.037000000000000005	37.0	171.0	0.9967	3.47	0.44
7.6	0.33	0.36	2.1	10.5	4	223.8184	0.034	26.0	172.0	0.9944	3.42	0.48
7.8	0.3	0.29	16.85	9.0	6	196.8338	0.054000000000000006	23.0	135.0	0.9998	3.16	0.38
7.8	0.3	0.29	16.85	9.0	6	196.8338	0.054000000000000006	23.0	135.0	0.9998	3.16	0.38
5.7	0.26	0.27	4.1	9.4	6	287.57519999999994	0.201	73.5	189.5	0.9942	3.27	0.38
7.8	0.3	0.29	16.85	9.0	6	196.8338	0.054000000000000006	23.0	135.0	0.9998	3.16	0.38
7.5	0.14	0.34	1.3	9.6	6	227.0195	0.055	50.0	153.0	0.9945	3.29	0.8
7.8	0.3	0.29	16.85	9.0	6	196.8338	0.054000000000000006	23.0	135.0	0.9998	3.16	0.38
6.6	0.25	0.41	7.4	10.2	7	209.64759999999998	0.043	29.0	151.0	0.9946	3.15	0.6
5.7	0.26	0.27	4.1	9.4	6	287.57519999999994	0.201	73.5	189.5	0.9942	3.27	0.38
8.2	0.23	0.49	0.9	10.4	6	112.71979999999999	0.057	15.0	73.0	0.9928	3.07	0.38
6.0	0.24	0.32	6.3	10.4	5	191.2146	0.03	34.0	129.0	0.9946	3.52	0.41
6.1	0.45	0.27	0.8	9.5	5	116.7017	0.039	13.0	82.0	0.9927	3.23	0.32
7.4	0.23	0.43	1.4	10.6	6	159.9378	0.044000000000000004	22.0	113.0	0.9938	3.22	0.62
7.2	0.2	0.38	1.0	11.0	5	119.38879999999999	0.037000000000000005	21.0	74.0	0.9918	3.21	0.37
7.5	0.14	0.34	1.3	9.6	6	227.0195	0.055	50.0	153.0	0.9945	3.29	0.8
7.7	0.25	0.43	4.5	9.9	6	162.7186	0.062	20.0	115.0	0.9966	3.38	0.5
8.2	0.61	0.45	5.4	9.6	5	161.76539999999997	0.03	15.0	118.0	0.9954	3.14	0.34
7.6	0.21	0.44	1.9	12.8	6	156.6873	0.036000000000000004	10.0	119.0	0.9913	3.01	0.7
7.4	0.22	0.33	2.0	11.4	5	158.35809999999998	0.045	31.0	101.0	0.9931	3.42	0.55
7.2	0.26	0.26	12.7	10.0	6	298.36460000000005	0.036000000000000004	49.0	214.0	0.9986	3.41	0.5
6.4	0.25	0.41	8.6	9.1	5	259.2385	0.042	57.0	173.0	0.9965	3.0	0.44
6.3	0.32	0.35	11.1	9.4	7	259.3674	0.039	29.0	198.0	0.9984	3.36	0.5
6.8	0.25	0.29	2.0	10.2	6	232.5772	0.042	19.0	189.0	0.9952	3.46	0.54
9.8	0.44	0.4	2.8	9.2	5	229.03159999999997	0.036000000000000004	35.0	167.0	0.9956	2.97	0.39
7.2	0.2	0.25	4.5	9.4	5	166.17890000000003	0.044000000000000004	31.0	109.0	0.9949	3.23	0.36
8.2	0.61	0.45	5.4	9.6	5	161.76539999999997	0.03	15.0	118.0	0.9954	3.14	0.34
7.5	0.42	0.45	9.1	10.1	6	177.07500000000002	0.028999999999999998	20.0	125.0	0.996	3.12	0.36
7.4	0.22	0.33	2.0	11.4	5	158.35809999999998	0.045	31.0	101.0	0.9931	3.42	0.55
6.4	0.26	0.3	2.2	10.6	6	191.457	0.025	33.0	134.0	0.992	3.21	0.47
7.9	0.46	0.32	4.1	12.8	7	208.22420000000002	0.033	40.0	138.0	0.9912	3.18	0.44
6.5	0.41	0.64	11.8	8.9	5	322.94280000000003	0.065	65.0	225.0	0.9978	3.12	0.51
7.5	0.32	0.37	1.2	9.3	5	229.25180000000003	0.048	22.0	184.0	0.9938	3.09	0.43
6.6	0.21	0.38	2.2	11.1	8	169.1574	0.026000000000000002	40.0	104.0	0.9914	3.25	0.4
7.1	0.21	0.3	1.4	9.9	6	211.4002	0.037000000000000005	45.0	143.0	0.9932	3.13	0.33
7.6	0.26	0.47	1.6	9.6	5	84.1424	0.068	5.0	55.0	0.9944	3.1	0.45
7.6	0.21	0.44	1.9	12.8	6	156.6873	0.036000000000000004	10.0	119.0	0.9913	3.01	0.7
6.9	0.25	0.26	5.2	10.7	7	199.2088	0.024	36.0	135.0	0.9948	3.16	0.72
7.1	0.26	0.32	14.45	9.2	6	171.78199999999998	0.07400000000000001	29.0	107.0	0.998	2.96	0.42
7.3	0.22	0.4	14.75	9.1	7	210.5818	0.042	44.5	129.5	0.9998	3.36	0.41
6.2	0.37	0.22	8.3	9.6	6	281.64140000000003	0.025	36.0	216.0	0.9964	3.33	0.6
7.9	0.22	0.45	14.2	9.2	6	230.4972	0.038	53.0	141.0	0.9992	3.03	0.46
6.9	0.25	0.26	5.2	10.7	7	199.2088	0.024	36.0	135.0	0.9948	3.16	0.72
7.3	0.22	0.4	14.75	9.1	7	210.5818	0.042	44.5	129.5	0.9998	3.36	0.41
7.1	0.26	0.32	14.45	9.2	6	171.78199999999998	0.07400000000000001	29.0	107.0	0.998	2.96	0.42
7.4	0.25	0.37	6.9	10.7	7	137.1139	0.02	14.0	93.0	0.9939	3.0	0.48
6.8	0.18	0.37	1.5	10.8	6	154.419	0.027000000000000003	37.0	93.0	0.992	3.3	0.45
7.0	0.17	0.37	1.5	10.8	7	125.62019999999997	0.027999999999999997	26.0	75.0	0.9922	3.3	0.46
6.4	0.3	0.38	7.8	9.0	5	255.39149999999998	0.046	35.0	192.0	0.9955	3.1	0.37
5.0	0.33	0.16	1.5	10.7	6	129.65069999999997	0.049	10.0	97.0	0.9917	3.48	0.44
5.0	0.33	0.16	1.5	10.7	6	129.65069999999997	0.049	10.0	97.0	0.9917	3.48	0.44
8.9	0.33	0.32	1.5	9.4	5	236.1424	0.047	11.0	200.0	0.9954	3.19	0.46
7.0	0.26	0.46	15.55	8.8	6	268.39560000000006	0.037000000000000005	61.0	171.0	0.9986	2.94	0.35
6.4	0.3	0.38	7.8	9.0	5	255.39149999999998	0.046	35.0	192.0	0.9955	3.1	0.37
6.3	0.21	0.4	1.7	11.5	6	207.0427	0.031	48.0	134.0	0.9917	3.42	0.49
8.0	0.23	0.46	1.5	12.5	6	182.4107	0.03	30.0	125.0	0.9907	3.23	0.47
9.2	0.28	0.41	1.0	10.5	6	98.63419999999999	0.042	14.0	59.0	0.9922	2.96	0.25
7.3	0.27	0.39	6.7	9.7	5	245.00979999999998	0.064	28.0	188.0	0.9958	3.29	0.3
7.6	0.32	0.36	1.6	11.3	6	212.963	0.04	32.0	155.0	0.993	3.23	0.52
5.0	0.33	0.16	1.5	10.7	6	129.65069999999997	0.049	10.0	97.0	0.9917	3.48	0.44
9.7	0.24	0.45	1.2	10.8	6	96.62559999999999	0.033	11.0	59.0	0.9926	2.74	0.47
8.0	0.28	0.42	7.1	10.6	5	241.04090000000002	0.045	41.0	169.0	0.9959	3.17	0.43
8.2	0.37	0.36	1.0	11.7	8	136.01459999999997	0.034	17.0	93.0	0.9906	3.04	0.32
8.0	0.61	0.38	12.1	9.2	5	279.0103	0.301	24.0	220.0	0.9993	2.94	0.48
7.2	0.26	0.44	7.1	11.1	8	181.48	0.027000000000000003	25.0	126.0	0.993	3.02	0.34
8.2	0.37	0.36	1.0	11.7	8	136.01459999999997	0.034	17.0	93.0	0.9906	3.04	0.32
6.4	0.23	0.33	1.15	11.0	6	256.91600000000005	0.044000000000000004	15.5	217.5	0.992	3.33	0.44
5.9	0.4	0.32	6.0	12.5	7	207.23600000000002	0.034	50.0	127.0	0.992	3.51	0.58
7.6	0.28	0.39	1.2	10.0	6	160.332	0.038	21.0	115.0	0.9940000000000001	3.16	0.67
8.0	0.28	0.42	7.1	10.6	5	241.04090000000002	0.045	41.0	169.0	0.9959	3.17	0.43
7.2	0.23	0.39	2.3	12.3	7	158.2438	0.033	29.0	102.0	0.9908	3.26	0.54
6.8	0.32	0.37	3.4	12.7	6	134.2732	0.023	19.0	87.0	0.9902	3.14	0.53
7.2	0.23	0.39	2.3	12.3	7	158.2438	0.033	29.0	102.0	0.9908	3.26	0.54
6.9	0.18	0.38	6.5	10.5	5	159.0133	0.039	20.0	110.0	0.9943	3.1	0.42
9.4	0.26	0.53	1.2	12.5	6	162.4391	0.047	25.0	109.0	0.9921	3.23	0.28
8.3	0.33	0.42	1.15	12.4	3	141.1441	0.033	18.0	96.0	0.9911	3.2	0.32
7.3	0.29	0.3	13.0	8.7	6	318.1016	0.043	46.0	238.0	0.9986	3.06	0.41
7.9	0.41	0.37	4.5	12.4	7	184.31199999999998	0.03	40.0	114.0	0.992	3.17	0.54
7.9	0.44	0.37	5.85	12.6	7	151.885	0.033	27.0	93.0	0.992	3.16	0.54
